ds,trend,yearly,Super Bowl,Valentine's Day,St Patrick's Day,Easter Sunday,Cinco de Mayo,Mother's Day,Memorial Day,Father's Day,Independence Day,Labor Day,Halloween,Thanksgiving,Christmas Eve,New Year's Eve,yhat
2017-01-09,4726890.764290599,-1250347.9986004715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3476542.7656901274
2017-01-16,4728268.625691625,-1216040.003173491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3512228.6225181343
2017-01-23,4729646.487092652,-1162159.5589082702,10289.54356287568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3577776.4717472577
2017-01-30,4731024.3484936785,-1089564.0437164383,561790.0432184599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4203250.3479957
2017-02-06,4732402.209894705,-999490.6174549193,0.0,58836.33271463999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791747.925154425
2017-02-13,4733780.071295732,-893527.581121389,0.0,117672.66542927998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3957925.1556036226
2017-02-20,4735157.932696758,-773574.9931273126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3961582.9395694453
2017-02-27,4736535.794097784,-641796.0585509778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094739.735546806
2017-03-06,4737913.655498811,-500561.2128830733,0.0,0.0,4420.791308204146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4241773.233923942
2017-03-13,4739291.516899837,-352387.12928336434,0.0,0.0,241367.02711054997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4628271.414727023
2017-03-20,4740669.378300863,-199873.07167297477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4540796.306627888
2017-03-27,4742047.23970189,-45637.08537892866,0.0,0.0,0.0,62647.428462616655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4759057.582785578
2017-04-03,4743425.100348539,107745.54026564138,0.0,0.0,0.0,125294.85692523331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4976465.497539413
2017-04-10,4744802.960995187,257799.2827067511,0.0,0.0,0.0,187942.28538785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5190544.529089788
2017-04-17,4746180.821641836,402198.90677887533,0.0,0.0,0.0,0.0,106740.83066715332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5255120.559087865
2017-04-24,4747558.682288485,538811.9167904736,0.0,0.0,0.0,0.0,213481.66133430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5499852.260413265
2017-05-01,4748936.542935133,665731.8186850194,0.0,0.0,0.0,0.0,320222.49200146,106088.34513495999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5840979.198756572
2017-05-08,4750314.403581781,781301.5733003186,0.0,0.0,0.0,0.0,0.0,212176.69026991999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5743792.66715202
2017-05-15,4751692.2642284315,884127.1410631108,0.0,0.0,0.0,0.0,0.0,0.0,12920.122642699289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5648739.527934242
2017-05-22,4753070.12487508,973081.5253578551,0.0,0.0,0.0,0.0,0.0,0.0,705414.7944927199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6431566.444725655
