ds,event_name
2014/02/02,Super Bowl
2014/02/14,Valentine's Day
2014/03/17,St Patrick's Day
2014/04/20,Easter Sunday
2014/05/05,Cinco de Mayo
2014/05/11,Mother's Day
2014/05/26,Memorial Day
2014/06/15,Father's Day
2014/07/04,Independence Day
2014/09/01,Labor Day
2014/10/31,Halloween
2014/11/27,Thanksgiving
2014/12/24,Christmas Eve
2014/12/31,New Year's Eve
2015/02/01,Super Bowl
2015/02/14,Valentine's Day
2015/03/17,St Patrick's Day
2015/04/05,Easter Sunday
2015/05/05,Cinco de Mayo
2015/05/10,Mother's Day
2015/05/25,Memorial Day
2015/06/21,Father's Day
2015/07/04,Independence Day
2015/09/07,Labor Day
2015/10/31,Halloween
2015/11/26,Thanksgiving
2015/12/24,Christmas Eve
2015/12/31,New Year's Eve
2016/02/07,Super Bowl
2016/02/14,Valentine's Day
2016/03/17,St Patrick's Day
2016/03/27,Easter Sunday
2016/05/05,Cinco de Mayo
2016/05/08,Mother's Day
2016/05/30,Memorial Day
2016/06/19,Father's Day
2016/07/04,Independence Day
2016/09/05,Labor Day
2016/10/31,Halloween
2016/11/24,Thanksgiving
2016/12/24,Christmas Eve
2016/12/31,New Year's Eve
2017/02/05,Super Bowl
2017/02/14,Valentine's Day
2017/03/17,St Patrick's Day
2017/04/16,Easter Sunday
2017/05/05,Cinco de Mayo
2017/05/14,Mother's Day
2017/05/29,Memorial Day
2017/06/18,Father's Day
2017/07/04,Independence Day
2017/09/04,Labor Day
2017/10/31,Halloween
2017/11/23,Thanksgiving
2017/12/24,Christmas Eve
2017/12/31,New Year's Eve
2018/02/04,Super Bowl
2018/02/14,Valentine's Day
2018/03/17,St Patrick's Day
2018/04/01,Easter Sunday
2018/05/05,Cinco de Mayo
2018/05/13,Mother's Day
2018/05/28,Memorial Day
2018/06/17,Father's Day
2018/07/04,Independence Day
2018/09/03,Labor Day
2018/10/31,Halloween
2018/11/22,Thanksgiving
2018/12/24,Christmas Eve
2018/12/31,New Year's Eve
2019/02/03,Super Bowl
2019/02/14,Valentine's Day
2019/03/17,St Patrick's Day
2019/04/21,Easter Sunday
2019/05/05,Cinco de Mayo
2019/05/12,Mother's Day
2019/05/27,Memorial Day
2019/06/16,Father's Day
2019/07/04,Independence Day
2019/09/02,Labor Day
2019/10/31,Halloween
2019/11/28,Thanksgiving
2019/12/24,Christmas Eve
2019/12/31,New Year's Eve
2020/02/02,Super Bowl
2020/02/14,Valentine's Day
2020/03/17,St Patrick's Day
2020/04/12,Easter Sunday
2020/05/05,Cinco de Mayo
2020/05/10,Mother's Day
2020/05/25,Memorial Day
2020/06/21,Father's Day
2020/07/04,Independence Day
2020/09/07,Labor Day
2020/10/31,Halloween
2020/11/26,Thanksgiving
2020/12/24,Christmas Eve
2020/12/31,New Year's Eve
2021/02/07,Super Bowl
2021/02/14,Valentine's Day
2021/03/17,St Patrick's Day
2021/04/04,Easter Sunday
2021/05/05,Cinco de Mayo
2021/05/09,Mother's Day
2021/05/31,Memorial Day
2021/06/20,Father's Day
2021/07/04,Independence Day
2021/09/06,Labor Day
2021/10/31,Halloween
2021/11/25,Thanksgiving
2021/12/24,Christmas Eve
2021/12/31,New Year's Eve
2022/02/13,Super Bowl
2022/02/14,Valentine's Day
2022/03/17,St Patrick's Day
2022/04/17,Easter Sunday
2022/05/05,Cinco de Mayo
2022/05/08,Mother's Day
2022/05/30,Memorial Day
2022/06/19,Father's Day
2022/07/04,Independence Day
2022/09/05,Labor Day
2022/10/31,Halloween
2022/11/24,Thanksgiving
2022/12/24,Christmas Eve
2022/12/31,New Year's Eve
2023/02/12,Super Bowl
2023/02/14,Valentine's Day
2023/03/17,St Patrick's Day
2023/04/09,Easter Sunday
2023/05/05,Cinco de Mayo
2023/05/14,Mother's Day
2023/05/29,Memorial Day
2023/06/18,Father's Day
2023/07/04,Independence Day
2023/09/04,Labor Day
2023/10/31,Halloween
2023/11/23,Thanksgiving
2023/12/24,Christmas Eve
2023/12/31,New Year's Eve
2024/02/11,Super Bowl
2024/02/14,Valentine's Day
2024/03/17,St Patrick's Day
2024/03/31,Easter Sunday
2024/05/05,Cinco de Mayo
2024/05/12,Mother's Day
2024/05/27,Memorial Day
2024/06/16,Father's Day
2024/07/04,Independence Day
2024/09/02,Labor Day
2024/10/31,Halloween
2024/11/28,Thanksgiving
2024/12/24,Christmas Eve
2024/12/31,New Year's Eve
